STUSAB,COUNTY,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
NM,1.0,3007611393,15882874,Bernalillo,Bernalillo County,A,676444,299451,35.053628,-106.6690805,06,676444,534445,353144,21344,38197,20253,794,100713,141999,135087,4396,9498,5548,440,109478,1148,329,48,1294,286,49,1755,273,434,111,6313,782,233,20,805,324,47,3012,253,593,46,31,4,78,14,26,6,2,19,3,15,544,96,10,245,9,29,3,39,68,5,33,2,0,0,0,5,53,5,44,0,0,3,1,2,2,676444,329481,346963,325149,253355,17871,30628,19226,564,3505,21814,20432,3292,6109,4617,347,4064,887,287,40,201,198,47,78,200,53,12,1261,458,153,15,79,182,38,39,195,37,0,31,4,5,7,1,4,1,0,0,12,104,51,5,20,8,8,0,11,0,0,0,1,0,0,0,0,15,0,12,0,0,3,0,2,2,533771,429900,291659,16030,28591,16469,626,76525,103871,99696,2363,6776,3318,288,83218,642,195,31,793,160,42,1272,205,312,81,3816,461,101,8,350,140,20,2179,160,267,19,20,4,44,5,8,2,1,12,3,12,317,51,5,171,1,14,1,17,40,3,8,1,0,0,0,5,42,3,35,0,0,3,1,0,0,533771,241402,292369,277107,220384,14267,23417,15837,469,2733,15262,14433,1986,4698,2931,251,3252,525,184,28,146,107,40,62,162,50,11,745,281,79,7,42,85,14,36,136,24,0,20,4,5,2,1,0,0,0,0,9,69,32,5,19,1,4,0,7,0,0,0,1,0,0,0,0,15,0,12,0,0,3,0,0,0,299451,279298,20153,11142,4411,1540,204,2592,75,6731,2805,693,3233
NM,3.0,17933561654,14193499,Catron,Catron County,A,3579,3231,33.9016208,-108.3919284,06,3579,3219,2961,37,59,8,0,154,360,345,0,61,16,3,247,2,0,0,6,0,1,4,1,3,1,9,0,0,0,4,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,5,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3579,602,2977,2865,2738,35,47,8,0,37,112,109,0,61,15,2,25,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216,2915,2699,23,54,5,0,134,301,292,0,57,15,0,207,2,0,0,3,0,1,4,1,1,1,4,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3216,500,2716,2613,2517,21,42,5,0,28,103,100,0,57,15,0,25,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231,1835,1396,38,1,1,0,0,0,37,0,0,37
NM,5.0,15713914833,20472234,Chaves,Chaves County,A,65157,26658,33.3616045,-104.4698374,06,65157,52886,36649,1225,903,667,43,13399,12271,11959,273,786,187,0,10419,20,7,6,97,8,6,102,8,24,16,287,50,9,0,27,11,1,158,7,6,1,2,0,14,0,0,0,0,0,1,0,21,4,0,10,3,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1,0,3,0,0,0,65157,37097,28060,26701,24445,947,411,611,29,258,1359,1291,196,578,161,0,321,0,4,6,8,1,6,0,7,2,1,57,23,6,0,3,3,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,3,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,47971,39513,27837,917,684,507,35,9533,8458,8266,111,576,91,0,7312,1,2,6,37,8,6,75,7,21,13,175,30,2,0,7,1,1,117,2,3,1,0,0,10,0,0,0,0,0,1,0,13,0,0,9,0,0,0,0,0,0,0,0,3,1,0,0,4,0,0,1,0,3,0,0,0,47971,25077,22894,21929,20117,798,329,476,25,184,965,916,89,460,87,0,250,0,2,6,7,1,6,0,7,1,0,45,21,2,0,3,0,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,26658,23521,3137,2121,1267,988,13,229,37,854,351,0,503
NM,6.0,11758505167,5554598,Cibola,Cibola County,A,27172,11099,34.9282721,-107.9926805,06,27172,23696,8080,284,12240,209,18,2865,3476,3345,41,394,47,11,2633,43,3,2,34,18,11,85,3,18,2,123,16,0,0,3,13,1,64,0,6,5,3,0,2,0,3,4,3,0,0,0,6,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,27172,8644,18528,17963,5538,254,11767,201,7,196,565,516,34,315,37,8,41,37,3,2,1,16,11,7,3,1,0,44,16,0,0,1,13,1,0,0,2,0,2,0,2,0,0,4,3,0,0,0,5,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20758,18009,6708,256,8688,174,18,2165,2749,2666,29,265,28,11,2183,27,3,2,29,9,8,52,3,17,0,78,16,0,0,1,7,1,36,0,4,5,0,0,2,0,2,4,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,20758,6490,14268,13871,4880,233,8432,166,7,153,397,363,23,222,21,8,35,21,3,2,1,9,8,7,3,0,0,31,16,0,0,1,7,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11099,9080,2019,2185,2141,1964,48,129,0,44,0,0,44
NM,7.0,9733113274,26296498,Colfax,Colfax County,A,12387,9503,36.6129638,-104.6401105,06,12387,9779,8137,36,211,61,18,1316,2608,2511,38,260,26,0,2148,1,0,0,11,1,0,24,0,2,0,95,17,3,1,6,4,0,40,0,16,4,0,2,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12387,5878,6509,6197,5954,25,108,60,11,39,312,290,24,143,26,0,88,1,0,0,7,0,0,1,0,0,0,21,11,3,0,0,2,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10108,8117,6782,31,180,56,16,1052,1991,1929,13,196,8,0,1675,1,0,0,11,0,0,23,0,2,0,60,15,0,0,6,0,0,30,0,2,4,0,2,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10108,4458,5650,5418,5207,25,93,55,9,29,232,219,12,117,8,0,73,1,0,0,7,0,0,1,0,0,0,12,9,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9503,5519,3984,618,592,477,23,92,0,26,0,0,26
NM,9.0,3640295680,7992977,Curry,Curry County,A,48430,21102,34.5729841,-103.3460546,06,48430,40520,27928,2900,634,810,37,8211,7910,7632,559,651,311,37,5693,35,33,0,185,3,4,70,20,25,6,258,53,12,2,58,12,0,75,12,23,2,2,0,0,7,0,0,0,0,0,0,10,0,0,4,0,2,0,0,0,0,0,4,0,0,0,0,8,3,5,0,0,0,0,2,2,48430,21796,26634,24793,21052,2513,249,733,35,211,1841,1745,460,476,269,35,385,27,30,0,34,1,4,3,17,4,0,85,42,11,0,3,12,0,0,6,0,2,2,0,0,7,0,0,0,0,0,0,7,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,2,0,2,0,0,0,0,2,2,35463,30257,21268,2095,499,656,29,5710,5206,5061,251,476,171,17,3909,26,21,0,86,3,0,57,20,18,6,134,37,2,2,21,4,0,42,11,11,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6,2,4,0,0,0,0,2,2,35463,14311,21152,19907,17008,1930,197,606,27,139,1245,1192,226,391,157,15,303,23,21,0,31,1,0,3,17,4,0,47,32,2,0,0,4,0,0,5,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,21102,18563,2539,843,305,160,15,130,0,538,0,496,42
NM,11.0,6016818946,29090018,De Baca,De Baca County,A,1698,1125,34.3592729,-104.3686961,06,1698,1510,1298,8,10,11,5,178,188,162,9,11,1,2,131,1,1,0,0,1,0,4,1,0,0,19,2,0,0,0,0,3,7,1,2,0,0,0,1,0,0,0,3,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1698,654,1044,998,983,3,4,4,4,0,46,35,9,8,1,0,13,1,1,0,0,1,0,0,1,0,0,9,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1360,1222,1043,7,6,6,4,156,138,122,2,11,0,2,102,1,0,0,0,1,0,2,1,0,0,11,0,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,3,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1360,504,856,832,818,2,4,4,4,0,24,19,2,8,0,0,6,1,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,770,355,15,15,15,0,0,0,0,0,0,0
NM,13.0,9863163868,17594250,Doña Ana,Doña Ana County,A,219561,89804,32.349919,-106.8349684,06,219561,159464,104209,4072,4089,2700,195,44199,60097,58311,932,2231,897,96,52840,137,63,1,339,22,8,529,70,118,28,1682,185,27,3,203,61,6,985,43,129,16,0,1,7,0,8,0,5,3,0,0,99,10,1,40,2,7,1,11,15,4,1,3,1,0,0,3,3,1,1,1,0,0,0,2,2,219561,147672,71889,67796,59749,3172,1463,2458,115,839,4093,3850,644,1304,720,71,810,87,44,1,38,16,1,25,66,20,3,215,109,19,1,12,24,6,6,29,3,0,0,1,1,0,4,0,0,0,0,0,24,5,0,1,1,3,0,11,0,0,1,1,1,0,0,0,2,0,1,1,0,0,0,2,2,167142,123488,82553,2993,3131,2225,129,32457,43654,42452,488,1647,561,60,38764,87,49,1,180,18,7,415,70,81,24,1126,107,13,1,86,29,3,761,40,69,3,0,1,7,0,4,0,0,2,0,0,71,7,1,27,2,0,0,8,15,4,1,3,0,0,0,3,3,1,1,1,0,0,0,2,2,167142,105300,61842,58764,52253,2568,1170,2060,84,629,3078,2905,405,1063,482,47,675,59,37,1,24,13,0,20,66,10,3,152,70,13,1,5,19,3,6,26,3,0,0,1,1,0,4,0,0,0,0,0,17,5,0,1,1,0,0,8,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,2,2,89804,82366,7438,4618,1670,1167,101,367,35,2948,2490,77,381
NM,15.0,10816688007,56493049,Eddy,Eddy County,A,62314,26277,32.4578347,-104.3064338,06,62314,50648,36266,977,922,597,61,11825,11666,11396,226,986,168,29,9723,20,3,16,85,1,3,83,4,32,17,243,39,5,0,39,8,4,91,15,25,2,0,0,4,3,0,0,4,1,0,3,25,0,0,11,7,0,2,4,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,62314,31307,31007,29473,27139,791,518,578,43,404,1534,1469,157,778,144,21,341,12,1,10,4,0,1,0,0,0,0,56,18,5,0,0,8,0,4,5,4,2,0,0,0,3,0,0,4,0,0,3,8,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,45921,37975,27584,747,688,442,44,8470,7946,7790,106,705,91,23,6693,11,2,6,38,1,3,70,4,26,11,145,23,1,0,22,8,4,56,4,10,2,0,0,4,3,0,0,4,1,0,3,10,0,0,7,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,45921,21301,24620,23520,21746,646,395,431,35,267,1100,1060,88,593,81,21,258,9,0,5,4,0,1,0,0,0,0,39,14,1,0,0,8,0,0,4,0,2,0,0,0,3,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26277,22751,3526,932,530,373,0,157,0,402,0,0,402
NM,17.0,10259478771,15294669,Grant,Grant County,A,28185,14584,32.732087,-108.3815043,06,28185,22692,18266,309,588,202,21,3306,5493,5290,106,446,90,11,4504,2,5,8,31,7,0,56,6,3,15,188,22,5,0,15,4,0,110,9,10,11,0,0,1,1,0,0,0,0,0,0,14,3,0,6,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,28185,13466,14719,14008,13117,249,265,191,18,168,711,672,62,296,70,11,206,2,0,8,4,0,0,3,4,2,4,36,12,2,0,13,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22831,18665,15157,246,448,168,21,2625,4166,4038,56,339,49,0,3497,2,5,1,21,7,0,42,4,0,15,117,6,2,0,10,4,0,80,6,1,7,0,0,0,1,0,0,0,0,0,0,11,1,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22831,9990,12841,12308,11551,218,214,157,18,150,533,511,39,238,45,0,174,2,0,1,4,0,0,0,4,0,4,21,4,2,0,9,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14584,12269,2315,650,305,89,0,216,0,345,262,0,83
NM,19.0,7847072132,2887948,Guadalupe,Guadalupe County,A,4452,2187,34.8697822,-104.7849677,06,4452,3095,2067,74,62,50,0,842,1357,1310,4,34,20,0,1208,3,0,0,14,1,4,20,0,2,0,34,0,0,1,0,6,0,16,0,8,3,0,0,0,0,0,0,0,0,0,0,10,3,1,2,0,1,0,0,2,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,4452,3436,1016,943,769,64,40,49,0,21,73,61,4,17,15,0,20,0,0,0,2,0,0,3,0,0,0,7,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,0,3586,2464,1612,66,60,46,0,680,1122,1096,4,29,7,0,1025,0,0,0,14,1,0,16,0,0,0,21,0,0,0,0,3,0,10,0,5,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3586,2696,890,838,674,64,40,45,0,15,52,47,4,15,7,0,19,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2187,1659,528,597,585,585,0,0,0,12,0,0,12
NM,21.0,5504963122,1162620,Harding,Harding County,A,657,600,35.8593523,-103.8534243,06,657,485,428,4,7,0,0,46,172,159,0,12,5,0,140,0,2,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,657,282,375,355,352,2,0,0,0,1,20,20,0,9,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,419,364,4,7,0,0,44,142,131,0,7,5,0,119,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,561,235,326,308,305,2,0,0,0,1,18,18,0,7,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,331,269,0,0,0,0,0,0,0,0,0,0
NM,23.0,8905761778,23581028,Hidalgo,Hidalgo County,A,4178,2190,31.8980519,-108.7519293,06,4178,3205,2655,14,40,14,7,475,973,926,16,31,0,5,872,0,0,0,0,0,0,2,0,0,0,34,6,1,0,8,0,0,4,2,6,0,0,0,1,0,0,0,0,0,5,1,10,2,0,3,0,1,2,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4178,2390,1788,1717,1645,14,14,11,5,28,71,50,4,18,0,5,23,0,0,0,0,0,0,0,0,0,0,16,0,1,0,8,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3239,2501,2084,12,37,10,2,356,738,713,11,29,0,5,666,0,0,0,0,0,0,2,0,0,0,15,0,1,0,8,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,2,0,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3239,1767,1472,1402,1350,12,11,7,0,22,70,50,4,18,0,5,23,0,0,0,0,0,0,0,0,0,0,15,0,1,0,8,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2190,1714,476,67,67,67,0,0,0,0,0,0,0
NM,25.0,11374066527,8147103,Lea,Lea County,A,74455,27950,32.7956865,-103.4132707,06,74455,58897,34303,2801,965,661,22,20145,15558,15210,371,820,128,6,13493,16,12,6,154,7,3,130,16,42,6,318,54,2,5,75,3,3,148,4,13,1,0,0,0,0,0,0,0,1,8,1,23,0,0,6,0,8,0,4,2,0,0,3,0,0,0,0,5,1,1,2,0,1,0,2,2,74455,45193,29262,27700,23775,2497,477,636,21,294,1562,1481,297,689,119,3,306,14,7,6,13,7,2,0,14,3,1,75,29,2,5,13,1,3,12,4,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,52736,42297,25523,2023,735,507,21,13488,10439,10236,165,602,70,5,9174,7,6,4,52,7,3,93,14,29,5,191,32,0,5,31,1,3,101,1,7,0,0,0,0,0,0,0,0,1,8,1,8,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,3,0,0,2,0,1,0,1,1,52736,29542,23194,22143,19124,1917,404,495,20,183,1051,993,144,522,69,2,211,6,2,4,6,7,2,0,14,3,1,54,18,0,5,13,1,3,7,1,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27950,25049,2901,2112,1578,1426,37,115,0,534,461,0,73
NM,27.0,12512530053,554839,Lincoln,Lincoln County,A,20269,17624,33.7408411,-105.4498055,06,20269,17089,14263,88,591,162,13,1972,3180,3068,69,435,42,6,2443,28,0,0,5,0,0,25,3,12,0,94,14,0,0,14,0,0,41,9,5,9,0,0,1,0,0,0,0,0,1,0,16,10,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,20269,6496,13773,13119,12339,68,429,138,8,137,654,627,55,365,33,6,143,25,0,0,0,0,0,0,0,0,0,21,14,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,16678,14349,12234,68,422,118,8,1499,2329,2262,28,326,29,5,1819,24,0,0,5,0,0,14,0,12,0,53,5,0,0,6,0,0,33,1,5,2,0,0,1,0,0,0,0,0,0,0,12,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,16678,4648,12030,11541,10962,61,307,105,8,98,489,474,24,290,20,5,114,21,0,0,0,0,0,0,0,0,0,9,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,17624,9148,8476,90,64,64,0,0,0,26,0,0,26
NM,28.0,282626748,208105,Los Alamos,Los Alamos County,A,19419,8634,35.8700469,-106.3079679,06,19419,16820,14513,167,157,1238,15,730,2599,2445,88,320,263,11,1710,7,15,2,9,1,2,13,2,2,0,136,19,7,0,24,11,3,55,3,7,4,2,0,1,0,0,0,0,0,0,0,17,2,0,5,0,4,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,19419,3435,15984,15095,13446,157,116,1223,15,138,889,871,73,256,256,9,250,4,15,2,3,0,2,1,0,0,0,15,2,3,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15050,13346,11547,130,112,975,15,567,1704,1619,56,225,119,6,1181,5,7,1,9,1,1,8,0,0,0,76,10,3,0,6,9,3,41,1,1,0,2,0,0,0,0,0,0,0,0,0,9,2,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15050,2353,12697,12129,10835,128,81,962,15,108,568,552,49,195,113,6,175,2,7,1,3,0,1,0,0,0,0,13,2,3,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8634,8147,487,82,56,7,0,49,0,26,0,0,26
NM,29.0,7679776933,433660,Luna,Luna County,A,25427,11508,32.1845231,-107.7471911,06,25427,19096,12797,304,344,175,20,5456,6331,6177,86,286,72,2,5614,11,0,3,13,9,3,47,9,16,6,141,10,0,0,31,5,0,76,2,5,0,0,0,4,0,0,0,2,0,5,1,13,1,0,4,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25427,16670,8757,8264,7671,228,143,160,12,50,493,471,54,202,71,2,116,5,0,3,1,9,0,0,8,0,0,18,7,0,0,4,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19118,14597,10043,210,257,146,16,3925,4521,4425,45,223,49,2,4029,9,0,2,1,6,3,38,9,4,5,93,6,0,0,15,4,0,54,2,2,0,0,0,4,0,0,0,1,0,5,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19118,11550,7568,7178,6710,175,109,132,12,40,390,381,36,180,48,2,95,4,0,2,0,6,0,0,8,0,0,7,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11508,9822,1686,800,332,288,0,44,0,468,414,0,54
NM,31.0,14118189396,12689169,McKinley,McKinley County,A,72902,25057,35.5840616,-108.2532938,06,72902,69068,7639,353,56941,948,36,3151,3834,3603,72,1097,94,2,1662,266,3,1,20,62,29,274,10,9,2,203,29,6,0,18,18,0,98,6,7,2,3,3,1,3,0,0,2,7,0,0,22,0,0,3,0,3,2,3,1,0,8,0,0,1,0,1,3,0,3,0,0,0,0,3,3,72902,8611,64291,62766,5946,323,55401,935,34,127,1525,1449,55,878,86,2,68,244,2,1,8,60,27,8,10,0,0,70,27,3,0,1,14,0,7,6,1,0,2,3,1,3,0,0,2,0,0,0,5,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,52680,50274,6261,301,40469,737,31,2475,2406,2281,32,579,63,2,1268,107,3,1,13,37,19,139,10,7,1,107,18,3,0,5,4,0,50,6,7,2,2,1,0,3,0,0,0,6,0,0,12,0,0,3,0,3,0,3,0,0,1,0,0,1,0,1,3,0,3,0,0,0,0,3,3,52680,5990,46690,45835,5027,282,39664,729,31,102,855,810,19,485,60,2,63,103,2,1,3,37,19,6,10,0,0,42,18,3,0,1,0,0,7,6,1,0,2,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,25057,22659,2398,877,360,180,33,130,17,517,52,0,465
